,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
0,2020-04-28,France,125706.0,128339.0,23226.0,23293.0,-2633.0,-67.0
1,2020-04-28,China,84407.0,83938.0,4673.0,4637.0,469.0,36.0
2,2020-04-28,Italy,199956.0,199414.0,27031.0,26977.0,542.0,54.0
3,2020-04-27,Spain,208321.0,209465.0,23372.0,23190.0,-1144.0,182.0
4,2020-04-28,United States,1016390.0,988451.0,56952.0,56245.0,27939.0,707.0
5,2020-04-28,World,3021107.0,2982688.0,211180.0,210193.0,38419.0,987.0
6,2020-04-28,United Kingdom,157587.0,157149.0,21378.0,21092.0,438.0,286.0
7,2020-04-28,Germany,156428.0,156337.0,5863.0,5913.0,91.0,-50.0
8,2020-04-28,Iran,91607.0,91472.0,5780.0,5806.0,135.0,-26.0
9,2020-04-28,Turkey,112255.0,112261.0,2902.0,2900.0,-6.0,2.0
