,date,country,total_cases_predict,total_cases_real,total_deaths_predict,total_deaths_real,error_abs_cases,error_abs_deaths
0,2020-07-08,France,168552.0,168810.0,29927.0,29933.0,-258.0,-6.0
0,2020-07-08,China,84950.0,84917.0,4650.0,4641.0,33.0,9.0
0,2020-07-08,Italy,242144.0,241956.0,34901.0,34899.0,188.0,2.0
0,2020-07-07,Spain,251872.0,252130.0,28403.0,28392.0,-258.0,11.0
0,2020-07-08,United States,2984598.0,2996098.0,130821.0,131480.0,-11500.0,-659.0
0,2020-07-08,World,11828447.0,11801805.0,542602.0,543902.0,26642.0,-1300.0
0,2020-07-08,United Kingdom,286693.0,286349.0,44324.0,44391.0,344.0,-67.0
0,2020-07-08,Germany,197260.0,197341.0,9037.0,9036.0,-81.0,1.0
0,2020-07-08,Iran,246252.0,245688.0,11879.0,11931.0,564.0,-52.0
0,2020-07-08,Turkey,207927.0,207897.0,5259.0,5260.0,30.0,-1.0
0,2020-07-08,Brazil,1666743.0,1668589.0,66498.0,66741.0,-1846.0,-243.0
